Time,Distance
08:56:47.808,341
08:56:47.808,340
08:56:47.808,342
08:56:47.808,339
08:56:47.808,341
08:56:47.808,340
08:56:47.850,344
08:56:47.850,340
08:56:47.850,343
08:56:47.850,340
08:56:47.850,342
08:56:47.850,343
08:56:47.883,340
08:56:47.883,340
08:56:47.883,344
08:56:47.883,340
08:56:47.883,340
08:56:47.883,341
08:56:47.883,339
08:56:47.923,341
08:56:47.923,342
08:56:47.923,343
08:56:47.923,343
08:56:47.923,342
08:56:47.923,343
08:56:47.959,341
08:56:47.959,342
08:56:47.959,343
08:56:47.959,344
08:56:47.959,342
08:56:47.959,341
08:56:47.991,342
08:56:47.991,342
08:56:47.991,344
08:56:47.991,342
08:56:47.991,341
08:56:47.991,342
08:56:47.991,342
08:56:48.025,343
08:56:48.025,338
08:56:48.025,342
08:56:48.025,343
08:56:48.025,344
08:56:48.025,345
08:56:48.058,341
08:56:48.058,343
08:56:48.058,342
08:56:48.058,344
08:56:48.058,344
08:56:48.058,342
08:56:48.058,343
08:56:48.092,344
08:56:48.092,344
08:56:48.092,344
08:56:48.092,343
08:56:48.092,341
08:56:48.092,345
08:56:48.125,344
08:56:48.125,345
08:56:48.125,345
08:56:48.125,343
08:56:48.125,342
08:56:48.125,341
08:56:48.158,343
08:56:48.158,342
08:56:48.158,342
08:56:48.158,345
08:56:48.158,344
08:56:48.158,346
08:56:48.158,344
08:56:48.192,344
08:56:48.192,344
08:56:48.192,342
08:56:48.192,344
08:56:48.192,345
08:56:48.192,346
08:56:48.192,343
08:56:48.226,344
08:56:48.226,344
08:56:48.226,345
08:56:48.226,341
08:56:48.226,342
08:56:48.226,341
08:56:48.226,344
08:56:48.258,341
08:56:48.258,345
08:56:48.258,342
08:56:48.258,341
08:56:48.258,344
08:56:48.258,343
08:56:48.292,341
08:56:48.292,342
08:56:48.292,343
08:56:48.292,346
08:56:48.292,344
08:56:48.292,345
08:56:48.325,346
08:56:48.325,347
08:56:48.325,345
08:56:48.325,345
08:56:48.325,345
08:56:48.325,346
08:56:48.325,344
08:56:48.358,343
08:56:48.358,343
08:56:48.358,345
08:56:48.358,345
08:56:48.358,345
08:56:48.358,343
08:56:48.358,342
08:56:48.392,342
08:56:48.392,344
08:56:48.392,344
08:56:48.392,346
08:56:48.392,346
08:56:48.392,348
08:56:48.392,348
08:56:48.425,349
08:56:48.425,352
08:56:48.425,350
08:56:48.425,351
08:56:48.425,348
08:56:48.425,347
08:56:48.458,338
08:56:48.458,334
08:56:48.458,331
08:56:48.458,329
08:56:48.458,327
08:56:48.458,325
08:56:48.492,325
08:56:48.492,326
08:56:48.492,325
08:56:48.492,326
08:56:48.492,327
08:56:48.492,329
08:56:48.492,330
08:56:48.525,330
08:56:48.525,332
08:56:48.525,336
08:56:48.525,338
08:56:48.525,341
08:56:48.525,342
08:56:48.558,342
08:56:48.558,342
08:56:48.558,343
08:56:48.558,344
08:56:48.558,344
08:56:48.558,343
08:56:48.558,341
08:56:48.591,339
08:56:48.591,336
08:56:48.591,336
08:56:48.591,338
08:56:48.591,342
08:56:48.591,347
08:56:48.624,348
08:56:48.624,348
08:56:48.624,345
08:56:48.624,339
08:56:48.624,334
08:56:48.624,328
08:56:48.657,322
08:56:48.657,316
08:56:48.657,313
08:56:48.657,308
08:56:48.657,303
08:56:48.657,299
08:56:48.657,295
08:56:48.691,291
08:56:48.691,285
08:56:48.691,282
08:56:48.691,277
08:56:48.691,273
08:56:48.691,269
08:56:48.725,265
08:56:48.725,263
08:56:48.725,259
08:56:48.725,254
08:56:48.725,252
08:56:48.725,249
08:56:48.725,245
08:56:48.757,242
08:56:48.757,239
08:56:48.757,236
08:56:48.757,232
08:56:48.757,230
08:56:48.757,227
08:56:48.791,224
08:56:48.791,221
08:56:48.791,217
08:56:48.791,215
08:56:48.791,212
08:56:48.791,209
08:56:48.824,207
08:56:48.824,204
08:56:48.824,203
08:56:48.824,200
08:56:48.824,198
08:56:48.824,196
08:56:48.824,194
08:56:48.858,193
08:56:48.858,190
08:56:48.858,190
08:56:48.858,187
08:56:48.858,184
08:56:48.858,183
08:56:48.890,180
08:56:48.890,178
08:56:48.890,176
08:56:48.890,175
08:56:48.890,174
08:56:48.890,172
08:56:48.890,170
08:56:48.924,169
08:56:48.924,169
08:56:48.924,168
08:56:48.924,166
08:56:48.924,165
08:56:48.924,164
08:56:48.958,162
08:56:48.958,161
08:56:48.958,159
08:56:48.958,158
08:56:48.958,156
08:56:48.958,156
08:56:48.991,154
08:56:48.991,153
08:56:48.991,151
08:56:48.991,151
08:56:48.991,149
08:56:48.991,148
08:56:48.991,147
08:56:49.024,146
08:56:49.024,145
08:56:49.024,145
08:56:49.024,143
08:56:49.024,142
08:56:49.024,140
08:56:49.057,139
08:56:49.057,138
08:56:49.057,136
08:56:49.057,136
08:56:49.057,135
08:56:49.057,135
08:56:49.057,133
08:56:49.091,132
08:56:49.091,131
08:56:49.091,130
08:56:49.091,129
08:56:49.091,128
08:56:49.091,127
08:56:49.124,126
08:56:49.124,125
08:56:49.124,124
08:56:49.124,124
08:56:49.124,124
08:56:49.124,122
08:56:49.157,121
08:56:49.157,121
08:56:49.157,119
08:56:49.157,119
08:56:49.157,117
08:56:49.157,116
08:56:49.157,116
08:56:49.191,116
08:56:49.191,115
08:56:49.191,114
08:56:49.191,114
08:56:49.191,113
08:56:49.191,112
08:56:49.223,112
08:56:49.223,111
08:56:49.223,110
08:56:49.223,110
08:56:49.223,109
08:56:49.223,108
08:56:49.223,108
08:56:49.257,107
08:56:49.257,107
08:56:49.257,106
08:56:49.257,106
08:56:49.257,105
08:56:49.257,105
08:56:49.290,104
08:56:49.290,103
08:56:49.290,102
08:56:49.290,102
08:56:49.290,101
08:56:49.290,100
08:56:49.324,100
08:56:49.324,99
08:56:49.324,100
08:56:49.324,99
08:56:49.324,99
08:56:49.324,98
08:56:49.324,97
08:56:49.324,97
08:56:49.357,96
08:56:49.357,96
08:56:49.357,95
08:56:49.357,95
08:56:49.357,95
08:56:49.357,94
08:56:49.357,94
08:56:49.357,93
08:56:49.390,93
08:56:49.390,92
08:56:49.390,92
08:56:49.390,92
08:56:49.390,91
08:56:49.390,91
08:56:49.390,91
08:56:49.390,91
08:56:49.424,90
08:56:49.424,89
08:56:49.424,89
08:56:49.424,88
08:56:49.424,88
08:56:49.424,87
08:56:49.424,86
08:56:49.424,86
08:56:49.457,85
08:56:49.457,85
08:56:49.457,85
08:56:49.457,84
08:56:49.457,84
08:56:49.457,83
08:56:49.457,82
08:56:49.457,82
08:56:49.490,82
08:56:49.490,82
08:56:49.490,82
08:56:49.490,81
08:56:49.490,81
08:56:49.490,82
08:56:49.490,81
08:56:49.490,81
08:56:49.523,81
08:56:49.523,80
08:56:49.523,80
08:56:49.523,80
08:56:49.523,80
08:56:49.523,79
08:56:49.523,79
08:56:49.523,78
08:56:49.556,78
08:56:49.556,78
08:56:49.556,77
08:56:49.556,77
08:56:49.556,77
08:56:49.556,77
08:56:49.556,76
08:56:49.556,76
08:56:49.590,76
08:56:49.590,76
08:56:49.590,75
08:56:49.590,75
08:56:49.590,75
08:56:49.590,74
08:56:49.590,74
08:56:49.590,73
08:56:49.623,72
08:56:49.623,72
08:56:49.623,72
08:56:49.623,72
08:56:49.623,71
08:56:49.623,70
08:56:49.623,70
08:56:49.623,70
08:56:49.656,69
08:56:49.656,70
08:56:49.656,69
08:56:49.656,69
08:56:49.656,69
08:56:49.656,69
08:56:49.656,69
08:56:49.656,68
08:56:49.690,69
08:56:49.690,68
08:56:49.690,68
08:56:49.690,68
08:56:49.690,68
08:56:49.690,68
08:56:49.690,68
08:56:49.690,68
08:56:49.723,68
08:56:49.723,67
08:56:49.723,67
08:56:49.723,66
08:56:49.723,66
08:56:49.723,66
08:56:49.723,66
08:56:49.723,65
08:56:49.757,65
08:56:49.757,65
08:56:49.757,64
08:56:49.757,64
08:56:49.757,64
08:56:49.757,64
08:56:49.757,63
08:56:49.757,63
08:56:49.789,64
08:56:49.789,64
08:56:49.789,63
08:56:49.789,63
08:56:49.789,63
08:56:49.789,63
08:56:49.789,63
08:56:49.789,62
08:56:49.823,62
08:56:49.823,63
08:56:49.823,62
08:56:49.823,62
08:56:49.823,62
08:56:49.823,63
08:56:49.823,63
08:56:49.823,63
08:56:49.856,63
08:56:49.856,63
08:56:49.856,63
08:56:49.856,63
08:56:49.856,63
08:56:49.856,63
08:56:49.856,63
08:56:49.856,61
08:56:49.890,61
08:56:49.890,61
08:56:49.890,62
08:56:49.890,62
08:56:49.890,62
08:56:49.890,62
08:56:49.890,61
08:56:49.890,62
08:56:49.923,61
08:56:49.923,62
08:56:49.923,61
08:56:49.923,61
08:56:49.923,61
08:56:49.923,61
08:56:49.923,61
08:56:49.923,61
08:56:49.956,61
08:56:49.956,60
08:56:49.956,61
08:56:49.956,60
08:56:49.956,61
08:56:49.956,61
08:56:49.956,61
08:56:49.956,61
08:56:49.989,61
08:56:49.989,61
08:56:49.989,61
08:56:49.989,60
08:56:49.989,60
08:56:49.989,60
08:56:49.989,61
08:56:49.989,60
08:56:50.023,60
08:56:50.023,60
08:56:50.023,60
08:56:50.023,60
08:56:50.023,60
08:56:50.023,60
08:56:50.023,60
08:56:50.023,60
08:56:50.055,60
08:56:50.055,60
08:56:50.055,60
08:56:50.055,60
08:56:50.055,60
08:56:50.055,60
08:56:50.055,60
08:56:50.055,60
08:56:50.089,60
08:56:50.089,60
08:56:50.089,60
08:56:50.089,60
08:56:50.089,60
08:56:50.089,60
08:56:50.089,60
08:56:50.089,60
08:56:50.123,61
08:56:50.123,61
08:56:50.123,61
08:56:50.123,61
08:56:50.123,61
08:56:50.123,61
08:56:50.123,61
08:56:50.123,60
08:56:50.156,60
08:56:50.156,60
08:56:50.156,60
08:56:50.156,60
08:56:50.156,60
08:56:50.156,60
08:56:50.156,60
08:56:50.156,60
08:56:50.188,60
08:56:50.188,60
08:56:50.188,60
08:56:50.188,60
08:56:50.188,60
08:56:50.188,60
08:56:50.188,60
08:56:50.188,60
08:56:50.224,60
08:56:50.224,60
08:56:50.224,60
08:56:50.224,60
08:56:50.224,60
08:56:50.224,60
08:56:50.224,60
08:56:50.224,61
08:56:50.256,61
08:56:50.256,62
08:56:50.256,62
08:56:50.256,62
08:56:50.256,62
08:56:50.256,62
08:56:50.256,62
08:56:50.256,63
08:56:50.291,63
08:56:50.291,62
08:56:50.291,62
08:56:50.291,62
08:56:50.291,62
08:56:50.291,62
08:56:50.291,62
08:56:50.291,61
08:56:50.324,61
08:56:50.324,62
08:56:50.324,64
08:56:50.324,67
08:56:50.324,75
08:56:50.324,79
08:56:50.324,86
08:56:50.324,92
08:56:50.358,103
08:56:50.358,108
08:56:50.358,116
08:56:50.358,126
08:56:50.358,132
08:56:50.358,139
08:56:50.391,145
08:56:50.391,151
08:56:50.391,155
08:56:50.391,151
08:56:50.391,145
08:56:50.391,142
08:56:50.391,142
08:56:50.424,156
08:56:50.424,195
08:56:50.424,199
08:56:50.424,199
08:56:50.424,200
08:56:50.424,201
08:56:50.457,201
08:56:50.457,201
08:56:50.457,202
08:56:50.457,202
08:56:50.457,202
08:56:50.457,203
08:56:50.457,203
08:56:50.491,203
08:56:50.491,205
08:56:50.491,205
08:56:50.491,206
08:56:50.491,206
08:56:50.491,206
08:56:50.525,206
08:56:50.525,206
08:56:50.525,207
08:56:50.525,207
08:56:50.525,208
08:56:50.525,209
08:56:50.558,209
08:56:50.558,210
08:56:50.558,211
08:56:50.558,212
08:56:50.558,213
08:56:50.558,213
08:56:50.558,215
08:56:50.591,219
08:56:50.591,221
08:56:50.591,221
08:56:50.591,223
08:56:50.591,223
08:56:50.591,223
08:56:50.624,224
08:56:50.624,225
08:56:50.624,226
08:56:50.624,226
08:56:50.624,227
08:56:50.624,228
08:56:50.624,227
08:56:50.657,228
08:56:50.657,228
08:56:50.657,230
08:56:50.657,230
08:56:50.657,230
08:56:50.657,230
08:56:50.690,232
08:56:50.690,233
08:56:50.690,234
08:56:50.690,236
08:56:50.690,237
08:56:50.690,238
08:56:50.724,238
08:56:50.724,240
08:56:50.724,241
08:56:50.724,241
08:56:50.724,243
08:56:50.724,244
08:56:50.724,245
08:56:50.757,246
08:56:50.757,248
08:56:50.757,248
08:56:50.757,250
08:56:50.757,252
08:56:50.757,252
08:56:50.791,254
08:56:50.791,254
08:56:50.791,257
08:56:50.791,257
08:56:50.791,258
08:56:50.791,261
08:56:50.791,261
08:56:50.823,263
08:56:50.823,265
08:56:50.823,265
08:56:50.823,266
08:56:50.823,268
08:56:50.823,269
08:56:50.857,271
08:56:50.857,271
08:56:50.857,259
08:56:50.857,188
08:56:50.857,153
08:56:50.857,147
08:56:50.890,145
08:56:50.890,146
08:56:50.890,145
08:56:50.890,144
08:56:50.890,143
08:56:50.890,141
08:56:50.890,141
08:56:50.924,140
08:56:50.924,140
08:56:50.924,138
08:56:50.924,126
08:56:50.924,117
08:56:50.924,116
08:56:50.957,116
08:56:50.957,114
08:56:50.957,112
08:56:50.957,111
08:56:50.957,111
08:56:50.957,111
08:56:50.957,110
08:56:50.990,109
08:56:50.990,110
08:56:50.990,110
08:56:50.990,110
08:56:50.990,110
08:56:50.990,108
08:56:51.024,108
08:56:51.024,107
08:56:51.024,107
08:56:51.024,107
08:56:51.024,109
08:56:51.024,110
08:56:51.057,112
08:56:51.057,114
08:56:51.057,116
08:56:51.057,117
08:56:51.057,118
08:56:51.057,119
08:56:51.057,118
08:56:51.090,120
08:56:51.090,119
08:56:51.090,119
08:56:51.090,119
08:56:51.090,118
08:56:51.090,118
08:56:51.123,118
08:56:51.123,117
08:56:51.123,117
08:56:51.123,117
08:56:51.123,116
08:56:51.123,116
08:56:51.123,116
08:56:51.156,114
08:56:51.156,114
08:56:51.156,114
08:56:51.156,114
08:56:51.156,115
08:56:51.156,114
08:56:51.190,114
08:56:51.190,113
08:56:51.190,113
08:56:51.190,113
08:56:51.190,113
08:56:51.190,112
08:56:51.222,112
08:56:51.222,111
08:56:51.222,111
08:56:51.222,111
08:56:51.222,111
08:56:51.222,110
08:56:51.222,110
08:56:51.255,109
08:56:51.255,109
08:56:51.255,108
08:56:51.255,109
08:56:51.255,109
08:56:51.255,109
08:56:51.290,108
08:56:51.290,108
08:56:51.290,108
08:56:51.290,108
08:56:51.290,108
08:56:51.290,107
08:56:51.290,107
08:56:51.321,107
08:56:51.321,105
08:56:51.321,105
08:56:51.321,105
08:56:51.321,105
08:56:51.321,104
08:56:51.356,103
08:56:51.356,103
08:56:51.356,102
08:56:51.356,102
08:56:51.356,103
08:56:51.356,102
08:56:51.390,101
08:56:51.390,102
08:56:51.390,102
08:56:51.390,101
08:56:51.390,100
08:56:51.390,101
08:56:51.390,101
08:56:51.423,100
08:56:51.423,100
08:56:51.423,100
08:56:51.423,99
08:56:51.423,99
08:56:51.423,98
08:56:51.423,99
08:56:51.456,98
08:56:51.456,99
08:56:51.456,98
08:56:51.456,97
08:56:51.456,97
08:56:51.456,97
08:56:51.456,96
08:56:51.456,97
08:56:51.491,97
08:56:51.491,97
08:56:51.491,97
08:56:51.491,97
08:56:51.491,97
08:56:51.491,97
08:56:51.491,97
08:56:51.491,97
08:56:51.524,97
08:56:51.524,96
08:56:51.524,96
08:56:51.524,97
08:56:51.524,96
08:56:51.524,97
08:56:51.524,96
08:56:51.524,95
08:56:51.557,95
08:56:51.557,96
08:56:51.557,96
08:56:51.557,96
08:56:51.557,95
08:56:51.557,95
