time;X;Y;Z;Total
0,001065;-0,0998;0,1184;0,9701;0,982
0,001337;-0,0977;0,1179;0,9741;0,986
0,001441;-0,0923;0,1144;0,9799;0,991
0,003133;-0,0928;0,1166;0,9834;0,995
0,004059;-0,0923;0,1144;0,9836;0,994
0,006744;-0,0871;0,1147;0,9894;1,000
0,010146;-0,0837;0,1168;0,9941;1,004
0,012071;-0,0822;0,1161;0,9936;1,004
0,018505;-0,0796;0,1161;1,0002;1,010
0,019268;-0,0784;0,1179;1,0021;1,012
0,019361;-0,0784;0,1210;1,0027;1,013
0,021983;-0,0768;0,1171;1,0039;1,014
0,025018;-0,0719;0,1171;1,0088;1,018
0,027072;-0,0742;0,1210;1,0073;1,017
0,030259;-0,0742;0,1179;1,0119;1,021
0,032863;-0,0719;0,1198;1,0119;1,022
0,035671;-0,0751;0,1174;1,0148;1,024
0,037236;-0,0761;0,1217;1,0163;1,026
0,040042;-0,0779;0,1224;1,0226;1,033
0,042241;-0,0776;0,1174;1,0246;1,034
0,044759;-0,0798;0,1151;1,0214;1,031
0,048632;-0,0739;0,1188;1,0230;1,032
0,050388;-0,0781;0,1193;1,0181;1,028
0,053080;-0,0803;0,1181;1,0153;1,025
0,054810;-0,0837;0,1142;1,0134;1,023
0,066035;-0,0849;0,1147;1,0097;1,020
0,066545;-0,0901;0,1098;1,0132;1,023
0,066905;-0,0889;0,1093;1,0083;1,018
0,067156;-0,0928;0,1098;1,0046;1,015
0,068216;-0,0947;0,1079;1,0024;1,013
0,070417;-0,0954;0,1066;0,9960;1,006
0,072742;-0,0969;0,1042;0,9962;1,006
0,075420;-0,0989;0,1037;0,9914;1,002
0,077686;-0,0998;0,1081;0,9897;1,001
0,083659;-0,1033;0,1086;0,9899;1,001
0,083953;-0,1020;0,1093;0,9862;0,997
0,085239;-0,1003;0,1081;0,9869;0,998
0,087854;-0,1028;0,1056;0,9892;1,000
0,099920;-0,0994;0,1061;0,9916;1,002
0,100554;-0,0947;0,1100;0,9946;1,005
0,100884;-0,0945;0,1076;0,9904;1,001
0,101168;-0,0915;0,1070;0,9934;1,003
0,101395;-0,0898;0,1100;0,9955;1,006
