dateTime,X,Y,Z
2023-02-07 12:10:40.814297,1.28,0.61,-6.56
2023-02-07 12:10:40.922871,1.18,0.63,-6.52
2023-02-07 12:10:41.430638,1.09,0.51,-6.46
2023-02-07 12:10:41.937966,1.51,0.93,-6.51
2023-02-07 12:10:42.445815,1.33,0.80,-6.68
2023-02-07 12:10:42.953428,1.37,1.08,-5.87
2023-02-07 12:10:43.460595,0.80,0.53,-8.43
2023-02-07 12:10:43.968431,1.10,0.51,-5.62
2023-02-07 12:10:44.475755,1.04,1.13,-8.29
2023-02-07 12:10:44.983437,0.84,-0.44,-7.04
2023-02-07 12:10:45.490936,1.62,0.49,-4.71
2023-02-07 12:10:45.998626,0.88,1.37,-8.57
2023-02-07 12:10:46.506547,0.82,0.14,-5.75
2023-02-07 12:10:47.013735,0.65,0.89,-6.11
2023-02-07 12:10:47.521392,0.79,0.97,-7.41
2023-02-07 12:10:48.028925,1.12,0.68,-6.46
2023-02-07 12:10:48.536567,0.75,0.41,-6.93
2023-02-07 12:10:49.044116,0.90,0.69,-7.03
2023-02-07 12:10:49.551492,0.79,0.42,-6.29
2023-02-07 12:10:50.059074,0.74,1.03,-7.32
2023-02-07 12:10:50.566706,1.01,0.93,-7.24
2023-02-07 12:10:51.074387,1.16,0.31,-4.53
2023-02-07 12:10:51.581968,1.06,0.89,-6.82
2023-02-07 12:10:52.089248,1.72,0.45,-7.10
2023-02-07 12:10:52.597128,1.01,0.68,-6.95
2023-02-07 12:10:53.104297,1.25,0.77,-6.55
2023-02-07 12:10:53.611771,1.26,0.79,-6.56
2023-02-07 12:10:54.119834,1.16,0.81,-6.70
2023-02-07 12:10:54.627004,1.27,0.85,-6.56
2023-02-07 12:10:55.134776,1.23,0.81,-6.64
2023-02-07 12:10:55.642234,1.20,0.69,-6.63
2023-02-07 12:10:56.150654,1.31,0.68,-6.53
2023-02-07 12:10:56.657489,1.21,0.71,-6.56
2023-02-07 12:10:57.164937,1.22,0.72,-6.58
2023-02-07 12:10:57.672446,1.27,0.74,-6.59
2023-02-07 12:10:58.180893,1.19,0.73,-6.69
2023-02-07 12:10:58.687929,1.25,0.70,-6.51
2023-02-07 12:10:59.195287,1.24,0.67,-6.55
2023-02-07 12:10:59.702725,1.29,0.62,-6.51
2023-02-07 12:11:00.210828,1.30,0.61,-6.53
2023-02-07 12:11:00.717782,1.27,0.60,-6.57
2023-02-07 12:11:01.225397,1.32,0.54,-6.51
2023-02-07 12:11:01.733098,1.33,0.51,-6.62
2023-02-07 12:11:02.240960,1.33,0.47,-6.47
2023-02-07 12:11:02.748128,1.31,0.55,-6.49
2023-02-07 12:11:03.256194,1.30,0.65,-6.59
2023-02-07 12:11:03.763327,1.37,0.59,-6.55
2023-02-07 12:11:04.270692,1.26,0.65,-6.58
2023-02-07 12:11:04.778211,1.17,0.60,-6.52
2023-02-07 12:11:05.285897,1.20,0.62,-6.47
2023-02-07 12:11:05.793438,1.22,0.66,-6.56
2023-02-07 12:11:06.300961,1.12,0.61,-6.57
2023-02-07 12:11:06.808644,1.24,0.57,-6.51
2023-02-07 12:11:07.316029,1.19,0.64,-6.56
2023-02-07 12:11:07.823687,1.12,0.61,-6.47
2023-02-07 12:11:08.331332,1.16,0.60,-6.50
2023-02-07 12:11:08.838902,1.18,0.59,-6.53
2023-02-07 12:11:09.346415,1.21,0.57,-6.51
2023-02-07 12:11:09.854104,1.22,0.54,-6.53
2023-02-07 12:11:10.361387,1.29,0.60,-6.48
2023-02-07 12:11:10.869055,1.17,0.56,-6.49
2023-02-07 12:11:11.376753,1.14,0.51,-6.51
2023-02-07 12:11:11.884259,1.28,0.54,-6.39
2023-02-07 12:11:12.391830,1.18,0.52,-6.47
2023-02-07 12:11:12.899312,1.25,0.61,-6.57
2023-02-07 12:11:13.406972,1.21,0.45,-6.56
2023-02-07 12:11:13.914594,1.27,0.57,-6.63
2023-02-07 12:11:14.422274,1.15,0.54,-6.51
2023-02-07 12:11:14.929654,1.21,0.53,-6.59
2023-02-07 12:11:15.437250,1.22,0.60,-6.56
2023-02-07 12:11:15.944674,1.23,0.52,-6.45
2023-02-07 12:11:16.452231,1.26,0.56,-6.60
2023-02-07 12:11:16.960077,1.25,0.51,-6.53
2023-02-07 12:11:17.467525,1.24,0.56,-6.63
2023-02-07 12:11:17.975010,1.25,0.53,-6.52
2023-02-07 12:11:18.482579,1.22,0.53,-6.49
2023-02-07 12:11:18.990805,1.24,0.58,-6.61
2023-02-07 12:11:19.497726,1.31,0.53,-6.47
2023-02-07 12:11:20.005265,1.34,0.51,-6.49
2023-02-07 12:11:20.512650,1.32,0.44,-6.55
2023-02-07 12:11:21.020593,1.28,0.39,-6.44
2023-02-07 12:11:21.527739,1.30,0.40,-6.58
2023-02-07 12:11:22.035190,1.29,0.48,-6.55
2023-02-07 12:11:22.543013,1.25,0.51,-6.54
2023-02-07 12:11:23.050977,1.28,0.50,-6.52
2023-02-07 12:11:23.559085,1.29,0.46,-6.57
2023-02-07 12:11:24.065564,1.25,0.50,-6.57
2023-02-07 12:11:24.573241,1.24,0.46,-6.57
2023-02-07 12:11:25.081258,1.27,0.46,-6.50
2023-02-07 12:11:25.588274,1.31,0.43,-6.59
2023-02-07 12:11:26.095907,1.36,0.48,-6.57
2023-02-07 12:11:26.603505,1.26,0.47,-6.50
2023-02-07 12:11:27.111424,1.31,0.43,-6.56
2023-02-07 12:11:27.618798,1.24,0.42,-6.51
2023-02-07 12:11:28.125994,1.23,0.40,-6.50
2023-02-07 12:11:28.633477,1.28,0.44,-6.54
