dateTime,X,Y,Z
2023-02-07 15:44:39.014024,-0.07,0.28,-6.34
2023-02-07 15:44:39.025690,-0.06,0.25,-6.36
2023-02-07 15:44:39.033569,-0.02,0.18,-6.32
2023-02-07 15:44:39.044039,0.03,0.17,-6.36
2023-02-07 15:44:39.055012,-0.01,0.18,-6.38
2023-02-07 15:44:39.063058,-0.04,0.17,-6.41
2023-02-07 15:44:39.074418,-0.02,0.20,-6.44
2023-02-07 15:44:39.082294,-0.11,0.22,-6.49
2023-02-07 15:44:39.093175,-0.11,0.23,-6.53
2023-02-07 15:44:39.103833,-0.06,0.21,-6.56
2023-02-07 15:44:39.112200,-0.03,0.22,-6.63
2023-02-07 15:44:39.123149,-0.05,0.23,-6.60
2023-02-07 15:44:39.133815,-0.10,0.29,-6.57
2023-02-07 15:44:39.142052,-0.10,0.30,-6.53
2023-02-07 15:44:39.152934,-0.09,0.32,-6.50
2023-02-07 15:44:39.163667,-0.10,0.30,-6.48
2023-02-07 15:44:39.172298,-0.09,0.32,-6.47
2023-02-07 15:44:39.182861,-0.09,0.27,-6.49
2023-02-07 15:44:39.193499,-0.11,0.27,-6.50
2023-02-07 15:44:39.202447,-0.08,0.23,-6.48
2023-02-07 15:44:39.212640,-0.13,0.23,-6.53
2023-02-07 15:44:39.223464,-0.16,0.24,-6.50
2023-02-07 15:44:39.231728,-0.14,0.24,-6.43
2023-02-07 15:44:39.243193,-0.06,0.22,-6.37
2023-02-07 15:44:39.253601,-0.10,0.21,-6.40
2023-02-07 15:44:39.261797,-0.10,0.26,-6.36
2023-02-07 15:44:39.272900,-0.09,0.21,-6.37
2023-02-07 15:44:39.283594,-0.08,0.23,-6.39
2023-02-07 15:44:39.291617,-0.11,0.23,-6.41
2023-02-07 15:44:39.302450,-0.10,0.23,-6.46
2023-02-07 15:44:39.313360,-0.11,0.22,-6.46
2023-02-07 15:44:39.321546,-0.12,0.25,-6.48
2023-02-07 15:44:39.332503,-0.11,0.27,-6.46
2023-02-07 15:44:39.343117,-0.09,0.29,-6.43
2023-02-07 15:44:39.351545,-0.03,0.25,-6.45
2023-02-07 15:44:39.362418,-0.03,0.25,-6.42
2023-02-07 15:44:39.374097,-0.06,0.23,-6.46
2023-02-07 15:44:39.383362,-0.08,0.26,-6.48
2023-02-07 15:44:39.392716,-0.11,0.26,-6.51
2023-02-07 15:44:39.401024,-0.11,0.29,-6.53
2023-02-07 15:44:39.411983,-0.10,0.35,-6.53
2023-02-07 15:44:39.423847,-0.09,0.38,-6.52
2023-02-07 15:44:39.431337,-0.11,0.36,-6.50
2023-02-07 15:44:39.441500,-0.05,0.29,-6.52
2023-02-07 15:44:39.453442,-0.00,0.29,-6.54
2023-02-07 15:44:39.460297,0.00,0.28,-6.57
2023-02-07 15:44:39.471487,-0.01,0.24,-6.51
2023-02-07 15:44:39.482124,-0.00,0.30,-6.45
2023-02-07 15:44:39.490404,-0.02,0.27,-6.45
2023-02-07 15:44:39.500989,0.01,0.27,-6.44
2023-02-07 15:44:39.509777,-0.05,0.28,-6.45
2023-02-07 15:44:39.521439,-0.00,0.26,-6.51
2023-02-07 15:44:39.533259,0.02,0.22,-6.53
2023-02-07 15:44:39.539594,0.00,0.24,-6.51
2023-02-07 15:44:39.550045,0.00,0.27,-6.52
2023-02-07 15:44:39.560878,0.01,0.29,-6.56
2023-02-07 15:44:39.569369,0.02,0.32,-6.63
